timestamp,action,token_id,id_type,entry_mc,content
2025-06-29 22:27:04.529,BUY,STARTUP,ticker,9.0,"I believe $STARTUP is the next liquid 10-20x+ on the market and I will highlight my reasoning as to why
First of all, chart is great - it initially ran to a 43M ATH, then dipped 95%~ to a 2.5M~ low and is now regaining volume and looking to reclaim key levels,The chart has consolidated near the bott"
2025-06-30 19:03:35.686,BUY,RICH,ticker,,"15M ATH, DIPS ARE FOR BUYING ! $RICH"
2025-09-02 03:23:29.916,BUY,PUMP,name,,"Longed PUMP w/ lev & spot from .00353, mainly looking for a swing towards .005 but I think it's ready to go"
2025-09-02 21:46:32.221,BUY,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,solana_address,115000000.0,"Sized some into CARDS @ 110M-120M~, I would like to DCA any dips near 100M
Very very cool, unique and engaging project related to Pokemon. You can check it all out for yourself
Float is low (real MC is like 10-20M), holder count is 1.1K as of now and the flywheel has yet to be announced so still ver"
2025-09-04 07:34:48.928,EXIT,LONGS,name,,"20% move caught in like 48 hrs, pretty solid. Closed my longs a bit early bc was stressed managing CARDS pos + PUMP pos but noice"
2025-09-06 23:41:41.818,EXIT,EARLY,name,,"Closed early but GG’s, +40% move"
2025-09-10 23:43:44.581,EXIT,6wB4BxHKEBsRYRj2sMWWDFmQrz3ubGgxLq28StuNVAiM,solana_address,,"Would probably look for dips on MURICA on BONK
BONK x USD1 integration went live today and this is the only thing to really come out of it. Few BONK higher ups shilling & Uni/BonkFun both followed the X
If this is anything similar to what the WLFI guys did on BNB they can probably crime this up dece"
2025-09-12 16:23:22.610,EXIT,EARLY,name,,"Closed early sadly, 20% move caught here if anyone tailed"
2025-09-12 16:31:48.446,BUY,CATCHUP,name,0.010644,"Went long on PEPE here @ 0.010644, betting on it playing some catchup to DOGE considering it's third in MC under it"
2025-09-12 17:40:52.188,BUY,IN,name,100000000.0,"Sized in some more at 100M, avg entry is somewhere around 90M and I will probably just chill on this position now. Got a good amount of size in"
2025-09-13 03:52:12.715,EXIT,EARLY,name,,"Closed early, again. Seems to be an issue of mine been stacking up these wins from the longs I’ve shared here though. Still new to perps"
2025-09-14 03:24:35.796,BUY,IN,name,,"Bagwork may go the distance, I sized in with about a 23M~ average (currently 33M)
First streamer coin created by people who were just randoms that has had massive success
A large part of the thesis Alon / team has is to create the next big streamers straight off of PF
Heavy incentive for them to pus"
2025-09-14 03:36:13.965,BUY,OF,name,,"Streamercoin etc. are cool, bought some of that and others but for this to all really succeed there needs to be a breakthrough success from actual people that start their streaming carreer on PF"
2025-09-14 05:34:14.453,BUY,STREAM,name,,"Also I bought some STREAM as an infra play, think it's pretty solid but I'd wait for a dip if you're interested in it"
2025-09-15 01:49:16.347,EXIT,ANYTHING,name,,"I think if you are up fat past few days or weeks it's not a bad idea to at least reduce a bit of risk here or have some stables, we just had SOL go from 200 to 240 and Pump 3B to 9B
Am not one to ever call tops or bottoms, just seems like a decent spot to protect some of the profits you made (if you"
2025-09-17 20:29:27.961,BUY,SO,name,,"Seems people are having issues buying so here is a guide, we also have one in ⁠🔗│bridging-guide
To bridge and buy
Visit https://debridge.finance/
Select the currency you want to bridge using under 'You pay'
For 'You recieve' click 'BNB Chain' then select 'Tether USD'
Input your MetaMask address unde"
2025-09-18 14:17:13.743,EXIT,AS,name,,"I see quite a lot of you who tailed WITH SIZE and are hitting your first five or six figure plays, absolutely incredible it makes me so happy
If you didn't take the trade it's fine, there's always another. If you did, super happy we're all eating together
The X's might not be insane but being able t"
2025-09-18 18:11:42.228,BUY,SUN,name,0.026,I bought some SUN @ .026 not much size and lower conviction but betting on some crime
2025-09-22 18:33:36.584,EXIT,OUT,name,,"CZ himself is defending this 1.3 level, TBH think you can just build a position on any dips there if you sold out higher"
2025-09-26 06:44:09.549,EXIT,IF,name,,"I am in pretty heavily , seven figures , with this one I’m going to do my best to ignore any of this annoying early PA and see what happens.
Think it could be a nice trade. Lots of people I respect are very bullish on it and considering how insanely massive presalers are up the chart is holding up w"
2025-10-02 05:10:47.851,BUY,OVER,name,,"I've totaled my LAUNCHCOIN position to a $500k initial with a 110M~ avg
Think you can most likely get 80-100M again but I am not super interested in the 10-20% price difference with the remainder of what I've bought over last 24 hrs
Will share a voice note over typing everything out since I am a bit"
2025-10-05 02:57:01.718,BUY,DIP,name,,"A lot of the times in the past for me, after I hit a high six or seven figure profit on a coin I become obsessed with watching the chart and end up trying to hit another trade on it (usually blasting back higher due to FOMO or buying a dip on it) and end up round tripping some of what I made. Could’"
2025-10-05 20:42:36.579,BUY,BUNCH,name,,"My avg exit on the original position was about 150M, so rebought a bunch back slightly higher. Ideally it retests lows again so I can add"
2025-10-06 07:00:55.723,EXIT,LAZINESS,name,,Here's the X if you want to DD further https://x.com/four_form_ - I didn't take a position out of laziness
2025-10-07 14:52:53.152,EXIT,EVERYTHING,name,,It should act as the leader out of everything
2025-10-07 20:51:46.468,BUY,QI,name,1500000.0,"Bought some QI at 1.5M as giga degen gamble, would wait for a dip though it just sent hard"
2025-10-08 00:37:39.684,EXIT,BINANCE,name,,"Don't like this at all personally going to go ahead and cut my pos here and play newpairs, completing the trade here outside of playing a Binance spot listing"
2025-10-09 07:13:14.279,EXIT,FOMO,name,,"Emotions are high be careful chasing anything if you are getting rekt on dumping bags
Rule #1 is to stay safe, no position is a position - don't blow up or do anything dumb out of FOMO @everyone"
2025-10-09 19:57:22.883,BUY,8ZEfp4PkEMoGFgphvxKJrDySfS3T73DBfxKCdAsPpump,solana_address,7000000.0,"Gambling some 8 here at 7M, first runner on SOL since BSC season. Betting on crime, otherwise it'll go to zero - ready for either outcome
CA 8ZEfp4PkEMoGFgphvxKJrDySfS3T73DBfxKCdAsPpump
Expect -50% if buying, aiming for 2-3x if things go according to plan"
2025-10-12 15:29:57.177,EXIT,CAKE,name,,"Beautiful. My plan was to swing these, so I am actively trimming CAKE on the way up"
2025-10-12 17:49:11.364,BUY,ON,name,1.4,I longed on HL @ 1.4 w/ small margin
2025-10-12 21:35:26.006,EXIT,CAKE,name,,"Actually went ahead and full TP'd CAKE and into stables not BNB, happy w/ the trade. Leaves the only active position SNX which I've trimmed some of already"
2025-10-15 05:33:50.187,BUY,LOSS,name,,"Bad trade by me, had multiple chances to sell in profit or at least for a small loss. First decently sized loss in the last two or so months.. had to happen eventually. Onwards"
2025-10-15 17:51:14.599,EXIT,LAUNCHCOIN,name,100000000.0,"Longed LAUNCHCOIN @ 100M off this news (EDIT: Closed, see below)"
2025-10-17 15:26:38.474,BUY,NOCK,ticker,0.18,Bought $NOCK at .18 https://safetrade.com/exchange/NOCK-USDT?type=basic
2025-10-17 15:30:30.441,BUY,IS,name,,"But the reason I bought is bc Cobie is shilling, Path is in and TechnoReverant just slammed 1.5M"
2025-10-18 20:00:20.927,EXIT,FULL,name,,"With ASTER I had learnt my lesson and have not touched the coin a single time since I exited my full position, roundtripping no PNL"
2025-10-23 01:59:17.224,BUY,FEW,name,,"Bought a few Hypurr NFTs at around $43k~ each for a long term hold, think eventually the airdrops they get will pay for them https://opensea.io/collection/hypurr-hyperevm"
2025-10-23 18:15:02.487,BUY,ASTER,name,1.072,"Longed some ASTER @ 1.0720 on HL, going to run tight stops (sub $1). Want to see it break this trendline relatively soon"
2025-10-25 02:42:18.344,BUY,VIRTUAL,name,1.0404,"Missed all of the plays on BASE so far and am not great w/ the tech stuff like I said but longing VIRTUAL @ 1.0404
Kind of like a CAKE / BSC SZN type of situation but for BASE so if the meta has staying power this should be good
Looks good from a chart perspective too for a trendline break from the "
2025-10-25 08:24:48.315,EXIT,ON,name,,Trimming on the way up as always
2025-10-25 15:48:03.929,BUY,AIXBT,name,0.069048,"Longed AIXBT at 0.069048, small leverage more trying to catch a quick pump as it's a longer term AI coin on BASE"
2025-10-25 18:03:50.523,BUY,VIRTUAL,name,,"TP'd my VIRTUAL position & AIXBT, quick $175k profit for like 12 hrs. Happy w/ it, played the breakout on VIRTUAL so will complete the trade and not greed further"
2025-10-25 20:23:46.358,EXIT,AIXBT,name,,Sold the AIXBT long a bit early oops
2025-10-26 06:40:15.440,BUY,SEMI,name,,"I could be completely wrong here but I bought a semi-decent amount of PALU, just because from my POV.. if I'm Binance one of these charts is a lot easier to get supply control of atm"
2025-10-26 06:43:28.384,BUY,GLHF,name,,"They also listed it on Binance Alpha @ like 3M and CZ interacted with it like directly after the listing, maybe I'm reading into it too much but those are my reasonings for buying GLHF"
2025-10-27 05:44:19.209,BUY,THREE,name,,"Up $55k from buying three of these Up like $18,000 per NFT from the post
If you bought some these are the benefits so far, think we'll get a lot more juicy stuff in the future
https://coinpilot.notion.site/?v=286d422939e88078b03e000c779c2142"
2025-10-29 03:44:33.468,BUY,8fdBKZq7wo9fJbsZEZhq6omCgvKzLt97HY9XaGgqpump,solana_address,2100000.0,"Gambled on some of this coin @ 2.1M average price, post on X is going super viral and I think it may continue sterring up talk
We just went full swing to market solely focusing on tech backed coins - maybe the pendulim swings back to concept coins abt said tech ?
Don't know, I'll sell for a loss if "
2025-10-29 05:06:53.973,BUY,BTC,name,,"Some people are buying BTC coins because this new platform dropped, I haven't bought anything yet but figured I'd share https://luminex.io/spark?ref="
2025-10-29 14:58:01.097,EXIT,MINE,name,,Most typical SOL price action Sold mine for a small loss
2025-11-12 14:58:50.629,BUY,OOB,name,0.4,Aped OOB at .4
2025-11-15 19:33:19.398,BUY,DEAD,name,,"All together though I'd be playing a dead cat bounce on BTC as I do believe cycle top for BTC is in
I'm happy to be wrong and I don't express this opinion in shorts, just through being stabled
I'll continue to play onchain opportunities regardless where majors do go, as there will always be somethin"
2025-11-20 04:25:21.106,BUY,ANYTHING,name,,"Going to go through all of my DMs over the next day or so (there's a ton), then I will work on server side stuff (finalizing the referrals challenge, etc)
My apoligies for the inactivity over the last one month or so, can't really do anything about it when major life events come up
Expect more trade"
2026-01-10 21:17:17.402,BUY,CmgJ1PobhUqB7MEa8qDkiG2TUpMTskWj8d9JeZWSpump,solana_address,6800000.0,"Been buying FISH today (avg entry 6.8M), seems like PUMP team wants this to be the next runner after White Whale
They're pushing it and it's in line w/ the CCM vision that White Whale is following as well so took a position
Aiming 20-30M but may change depending on majors / mainly what White Whale d"
2026-01-24 18:41:42.846,BUY,PUMP,name,0.002635,"Longed PUMP @ .002635, 100M runner like this seems pretty significant for the vibes of onchain and I think PUMP is lagging"
2026-01-26 07:34:23.421,BUY,CLAWD,name,1500000.0,"Bought a bunch of CLAWD from 8-12M
Also bought a bunch of ShrimpCoin at 1.5M
CLAWD checks the boxes for me, giga viral tech coin except the dev isn’t endorsing the coin so there’s no execution risk. A bet on it going more viral + the community for the coin can probably do some cool shit as well. Let"
2026-01-27 05:52:31.220,EXIT,LOSS,name,,"Took a decently sized loss here, chart is just cucked. Sorry for the shitty call
I'm watching PUMP for a potential breakout long, but mainly worried about BTC messing w/ it"
2026-01-30 23:05:13.839,BUY,BUYS,name,,"Am up $200k~ on here so far if you're following around
Will share the larger sized buys I do on there in here as well going fwd
Still getting back into the flow state after a few months off"
2026-02-01 02:57:58.407,BUY,WHAT,name,,"Aped what I'm willing to lose or -50% on, figured I'd share. I'm going to trim on the way up to protect my initials"
2026-02-02 01:08:12.909,BUY,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,solana_address,20000000.0,"Sized a bit of Butt Coin @ 20M, didn't go in super heavy Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump"
2026-02-02 01:09:09.051,BUY,AROUND,name,,"Top holder is Matt Beall who is a billionaire, he's bought around 9% of the supply so far and has shilled on his X
Mainly playing the bull case of him continuing to buy more and becoming the figure head of the coin + bringing in other rich people"
2026-02-02 18:25:05.668,BUY,BIT,name,15000012.5,Bought a bit of this at 25-30M~
2026-02-02 18:48:01.974,BUY,LITTLE,name,,"Bought a little bit more at the 20M dip earlier, will see how it reacts to this range now"
2026-02-02 22:02:56.039,BUY,FYtP5AiiB4eUjVA88EeZS73PDpi7RPLusdqtXizYpump,solana_address,,"I also have been buying the original GOY which was PvPing this one yesterday, think one of them should run - not interested in apeing a lot since the PvP ruins the narra a bit but tried some here
FYtP5AiiB4eUjVA88EeZS73PDpi7RPLusdqtXizYpump"
